fuel_name,consumption_unit,heat_content,unit_heat_content,emission_factor,unit_emission_factor,scope,fuel_type
Mixed Coal (Commercial Sector),short ton,21.39,mmBtu per short ton,95.002,kgCO2e/mmBtu,1_combustion_fija,Solid
Mixed Coal (Electric Power Sector),short ton,19.73,mmBtu per short ton,96.252,kgCO2e/mmBtu,1_combustion_fija,Solid
Mixed Coal (Industrial Sector),short ton,22.35,mmBtu per short ton,95.402,kgCO2e/mmBtu,1_combustion_fija,Solid
Coal Coke,short ton,24.8,mmBtu per short ton,114.402,kgCO2e/mmBtu,1_combustion_fija,Solid
Municipal Solid Waste,short ton,9.95,mmBtu per short ton,92.709,kgCO2e/mmBtu,1_combustion_fija,Solid
Petroleum Coke (Solid),short ton,30,mmBtu per short ton,104.419,kgCO2e/mmBtu,1_combustion_fija,Solid
Plastics,short ton,38,mmBtu per short ton,77.009,kgCO2e/mmBtu,1_combustion_fija,Solid
Tires,short ton,28,mmBtu per short ton,87.979,kgCO2e/mmBtu,1_combustion_fija,Solid
Agricultural Byproducts,short ton,8.25,mmBtu per short ton,2.009,kgCO2e/mmBtu,1_combustion_fija,Solid
Solid Byproducts,short ton,10.39,mmBtu per short ton,2.009,kgCO2e/mmBtu,1_combustion_fija,Solid
Wood and Wood Residuals,short ton,17.48,mmBtu per short ton,1.1556,kgCO2e/mmBtu,1_combustion_fija,Solid
Natural Gas,scf,0.001026,mmBtu per scf,53.1145,kgCO2e/mmBtu,1_combustion_fija,Gas
Blast Furnace Gas,scf,0.000092,mmBtu per scf,274.347116,kgCO2e/mmBtu,1_combustion_fija,Gas
Fuel Gas,scf,0.001388,mmBtu per scf,59.243,kgCO2e/mmBtu,1_combustion_fija,Gas
Propane Gas,scf,0.002516,mmBtu per scf,61.703,kgCO2e/mmBtu,1_combustion_fija,Gas
Landfill Gas,scf,0.000485,mmBtu per scf,0.25655,kgCO2e/mmBtu,1_combustion_fija,Gas
Other Biomass Gases,scf,0.000655,mmBtu per scf,0.25655,kgCO2e/mmBtu,1_combustion_fija,Gas
Asphalt,gallon,0.158,mmBtu per gallon,75.603,kgCO2e/mmBtu,1_combustion_fija,Liquid
Aviation Gasoline,gallon,0.12,mmBtu per gallon,69.493,kgCO2e/mmBtu,1_combustion_fija,Liquid
Butane,gallon,0.103,mmBtu per gallon,65.013,kgCO2e/mmBtu,1_combustion_fija,Liquid
Crude Oil,gallon,0.138,mmBtu per gallon,74.783,kgCO2e/mmBtu,1_combustion_fija,Liquid
Distillate Fuel Oil No. 1,gallon,0.139,mmBtu per gallon,73.493,kgCO2e/mmBtu,1_combustion_fija,Liquid
Distillate Fuel Oil No. 2,gallon,0.138,mmBtu per gallon,74.203,kgCO2e/mmBtu,1_combustion_fija,Liquid
